번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
421,개개비사촌,Cisticola jundicis,LCS,LC,1,"S,R","3,5"
422,비늘무늬덤불개개비,Curruca nisoria,IOS,LC,0,,V2
423,쇠흰턱딱새,Curruca curruca,IOS,LC,0,,V2
424,붉은머리오목눈이,Sinosuthora webbiana,NAB,LC,1,R,1
425,한국동박새,Zosterops erythropleurus,LCS,LC,0,P,3
426,작은동박새,Zosterops simplex,RRO,LC,0,P,5
427,동박새,Zosterops japonicus,LCS,LC,1,"R,P","2,4"
428,상모솔새,Regulus regulus,NAB,LC,0,"W,P","2,2"
429,굴뚝새,Troglodytes troglodytes,DES,LC,1,"W,R","2,3"
430,쇠동고비,Sitta villosa,IOS,LC,0,W,V1
431,동고비,Sitta europaea,NAB,LC,1,R,1
432,나무발발이,Certhia familiaris,HDR,LC,1,"R,W","4,5"
433,뿔찌르레기,Acridotheres cristatellus,IOS,LC,0,P,V2
434,붉은부리찌르레기,Spodiopsar sericeus,RRO,LC,1,"P,S,W","4,4,4"
435,찌르레기,Spodiopsar cineraceus,BDM,LC,1,"P,W,R","2,3,3"
436,북방쇠찌르레기,Agropsar sturninus,LCS,LC,1,"P,S","4,V1"
437,쇠찌르레기,Agropsar philippensis,LCS,LC,1,"P,S,W","4,5,V2"
438,잿빛쇠찌르레기,Sturnia sinensis,RRO,LC,1,"P,S","5,V1"
439,분홍찌르레기,Pastor roseus,IOS,LC,0,,V1
440,흰점찌르레기,Sturnus vulgaris,LCS,LC,0,"W,P","4,4"
441,호랑지빠귀,Zoothera aurea,NAB,LC,1,"P,S,R","2,2,4"
442,흰눈썹지빠귀,Geokichla sibirica,LCS,LC,0,"P,S","4,V2"
443,귤빛지빠귀,Geokichla citrina,IOS,LC,0,,V2
444,큰점지빠귀,Turdus mupinensis,IOS,LC,0,P,V1
445,대륙점지빠귀,Turdus viscivorus,IOS,LC,0,,V2
446,대륙검은지빠귀,Turdus mandarinus,RRO,LC,1,"P,S,W","5,V1,V1"
447,붉은날개지빠귀,Turdus iliacus,IOS,NT,0,,V2
448,검은지빠귀,Turdus cardis,LCS,LC,0,P,4
449,되지빠귀,Turdus hortulorum,NAB,LC,1,"S,P,W","1,2,V2"
450,흰눈썹붉은배지빠귀,Turdus obscurus,LCS,LC,0,P,3
451,흰배지빠귀,Turdus pallidus,NAB,LC,1,"S,P,R","1,2,3"
